timestamp,open,high,low,close,volume
2024-06-12 19:55:00,169.0100,169.1400,169.0100,169.1400,231
2024-06-12 19:50:00,169.0200,169.2200,169.0200,169.1500,8
2024-06-12 19:45:00,169.0200,169.0200,169.0200,169.0200,5
2024-06-12 19:40:00,169.0000,169.0000,169.0000,169.0000,40
2024-06-12 19:30:00,169.2000,169.2000,169.2000,169.2000,6
2024-06-12 19:25:00,168.8100,168.8100,168.8100,168.8100,81
2024-06-12 19:20:00,169.0000,169.2100,169.0000,169.2100,224
2024-06-12 19:15:00,169.0200,169.0200,169.0000,169.0000,57
2024-06-12 19:05:00,169.0100,169.0100,169.0100,169.0100,10
2024-06-12 19:00:00,169.0000,169.0900,168.8000,168.8000,581805
2024-06-12 18:55:00,169.0900,169.0900,169.0900,169.0900,1
2024-06-12 18:50:00,169.0100,169.0100,169.0100,169.0100,15
2024-06-12 18:45:00,169.0900,169.0900,169.0900,169.0900,11
2024-06-12 18:35:00,169.0900,169.0900,169.0800,169.0900,8
2024-06-12 18:30:00,169.0000,169.0900,169.0000,169.0100,581927
2024-06-12 18:25:00,169.0100,169.0100,169.0100,169.0100,10
2024-06-12 18:05:00,169.0900,169.0900,169.0900,169.0900,1
2024-06-12 18:00:00,169.0900,169.0900,169.0900,169.0900,6
2024-06-12 17:50:00,169.0100,169.0700,169.0100,169.0700,18
2024-06-12 17:40:00,169.3000,169.3000,169.3000,169.3000,3
2024-06-12 17:35:00,169.1000,169.1000,169.0100,169.0100,45
2024-06-12 17:30:00,169.1200,169.1200,169.1000,169.1000,335
2024-06-12 17:25:00,169.4900,169.4900,169.4900,169.4900,1
2024-06-12 17:20:00,169.0100,169.0100,169.0000,169.0000,7829
2024-06-12 17:15:00,169.3500,169.3500,169.0100,169.0100,2
2024-06-12 17:10:00,169.3700,169.3700,169.0100,169.0100,16
2024-06-12 17:05:00,169.0200,169.0200,169.0200,169.0200,25
2024-06-12 17:00:00,169.0200,169.0200,169.0200,169.0200,5
2024-06-12 16:55:00,169.0200,169.0300,169.0100,169.0100,127
2024-06-12 16:50:00,169.0100,169.0220,169.0100,169.0220,3
2024-06-12 16:45:00,169.0000,169.0000,168.9900,169.0000,154
2024-06-12 16:40:00,168.9900,168.9900,168.8200,168.8200,31
2024-06-12 16:30:00,168.6500,169.0000,168.6500,169.0000,12
2024-06-12 16:25:00,169.3400,169.3400,168.6000,168.6000,103
2024-06-12 16:20:00,169.0000,169.0000,168.5000,168.5000,1933
2024-06-12 16:15:00,169.0000,169.0500,168.5200,169.0500,25
2024-06-12 16:10:00,169.0000,169.0000,168.1000,168.9400,581804
2024-06-12 16:05:00,169.5000,169.5000,169.0000,169.0000,15120
2024-06-12 16:00:00,168.9670,169.3850,168.1000,168.8200,1300515
2024-06-12 15:55:00,168.8200,169.2600,168.7600,168.9500,245536
2024-06-12 15:50:00,168.6900,168.8200,168.6300,168.8100,123440
2024-06-12 15:45:00,168.6500,168.7500,168.4150,168.6900,91102
2024-06-12 15:40:00,168.3500,168.6900,168.3100,168.6400,56310
2024-06-12 15:35:00,168.4100,168.6600,168.3500,168.3700,44873
2024-06-12 15:30:00,168.4200,168.5500,168.2700,168.4320,52081
2024-06-12 15:25:00,168.6000,168.7000,168.2700,168.4100,43633
2024-06-12 15:20:00,169.1200,169.1450,168.6700,168.7000,35928
2024-06-12 15:15:00,168.7600,169.1300,168.7550,169.0900,23838
2024-06-12 15:10:00,168.8000,168.8500,168.6000,168.7600,18508
2024-06-12 15:05:00,168.6120,168.8500,168.5110,168.8100,24958
2024-06-12 15:00:00,168.4200,168.7100,168.4100,168.6200,14014
2024-06-12 14:55:00,168.1500,168.4900,168.1500,168.4300,14818
2024-06-12 14:50:00,168.2500,168.4100,168.1010,168.2100,14683
2024-06-12 14:45:00,168.3300,168.4200,168.1700,168.2350,17575
2024-06-12 14:40:00,168.6300,168.6300,168.2100,168.2800,24022
2024-06-12 14:35:00,168.6500,168.6650,168.3500,168.5800,23737
2024-06-12 14:30:00,168.7150,168.9200,168.5300,168.6000,23540
2024-06-12 14:25:00,168.6500,168.8400,168.6500,168.7300,25682
2024-06-12 14:20:00,168.7500,168.7900,168.5700,168.6250,24231
2024-06-12 14:15:00,168.8050,168.9400,168.7400,168.7500,33221
2024-06-12 14:10:00,168.9800,169.0200,168.7380,168.8050,33178
2024-06-12 14:05:00,168.5300,168.8900,168.5300,168.8900,29493
2024-06-12 14:00:00,168.7900,168.8100,168.1100,168.5000,58734
2024-06-12 13:55:00,169.2150,169.2350,168.8600,168.8800,19841
2024-06-12 13:50:00,168.9400,169.3000,168.9400,169.2000,22300
